***** Results of Analysis *****

Variables	VarBounds_0	VarBounds_1	VarBoundFraction
e0_greek_DeltaT_logsh	1.0 	1.0 	2.0
e0_Q_sh	0.15707963268 	0.15707963268 	0.314159265359
e0_HU_hnph2_i1	0.250126306088 	0.250126306088 	0.500252612176
e0_HU_hnph2_i2	0.255705090023 	0.255705090023 	0.511410180046
e0_K_hinph2_i1	0.923453551913 	0.923453551913 	1.84690710383
e0_K_hinph2_i2	0.892776222917 	0.892776222917 	1.78555244583
e0_K_houtph2_i1	1.0 	1.0 	2.0
e0_K_houtph2_i2	0.999999999982 	0.999999999982 	1.99999999996
e0_Q_ph2	1.0 	1.0 	2.0
e0_T_coutsc	1.0 	1.0 	2.0
e0_T_hinsc	0.6015625 	0.6015625 	1.203125
e0_U_hph2	1.0 	1.0 	2.0
e0_T_coutph2	1.0 	1.0 	2.0
e0_V_Lhph2	0.0120574323367 	0.0120574323367 	0.0241148646734
e0_V_Vhph2	0.919889402004 	0.919889402004 	1.83977880401
e0_h_Lhinnph2	1.0 	1.0 	2.0
e0_h_hinnsc	1.0 	1.0 	2.0
e0_T_coutsh	1.0 	1.0 	2.0
e0_h_Vhnoutph2	1.0 	1.0 	2.0
e0_h_cnoutsc	0.109375 	0.109375 	0.21875
e0_T_hinph2	0.6015625 	0.6015625 	1.203125
e0_x_coutsc_k1	solved 	solved 	solved
e0_x_hinph2_i1	0.924372865365 	0.924372865365 	1.84874573073
e0_x_hinph2_i2	0.893468201042 	0.893468201042 	1.78693640208
e0_x_hinsc_i1	0.882721703529 	0.882721703529 	1.76544340706
e0_x_hinsc_i2	0.909891190868 	0.909891190868 	1.81978238174
e0_y_houtph2_i1	1.0 	1.0 	2.0
e0_y_houtph2_i2	1.0 	1.0 	2.0
e0_U_hsh	1.0 	1.0 	2.0
e0_V_hsh	0.109736985409 	0.107492877152 	0.21722986256
e0_greek_DeltaT_logsc	1.0 	1.0 	2.0
e0_greek_rho_Lhnoutsc	1.0 	1.0 	2.0
e0_A_sc	0.011938057952 	0.011938057952 	0.0238761159041
e0_F_hnoutsc	0.0143746722253 	0.0143746722253 	0.0287493444505
e0_HU_hnsc	0.116668961142 	0.116668961142 	0.233337922284
e0_HU_hnsc_i1	0.235641453368 	0.235641453368 	0.471282906736
e0_HU_hnsc_i2	0.242343523206 	0.242343523206 	0.484687046413
e0_Q_sc	0.11938057952 	0.11938057952 	0.238761159041
e0_T_houtsc	1.0 	1.0 	2.0
e0_U_hsc	1.0 	1.0 	2.0
e0_V_hsc	0.011333502891 	0.011333502891 	0.0226670057821
e0_A_sh	0.015707963268 	0.000107105011561 	0.0158150682795
e0_h_cnoutph2	0.9375 	0.9375 	1.875
e0_h_cinnsc	5.82076609135e-16 	5.82076609135e-16 	1.16415321827e-15
e0_h_hnoutsc	1.0 	1.0 	2.0
e0_h_cnoutsh	1.0 	1.0 	2.0
e0_h_hinnsh	2.91038304567e-16 	2.91038304567e-16 	5.82076609135e-16
e0_x_houtsc_i1	0.942554812073 	0.942554812073 	1.88510962415
e0_x_houtsc_i2	0.937644237186 	0.937644237186 	1.87528847437
e0_A	1.7763568394e-17 	1.7763568394e-17 	3.5527136788e-17
e0_A_V	0.0137444678595 	0.0137444678595 	0.0274889357189
e0_A_aux	1.11022302463e-18 	1.11022302463e-18 	2.22044604925e-18
e0_A_auxsc	0.00310584594576 	0.00310584594576 	0.00621169189152
e0_A_auxsh	0.00368100260238 	3.42418846733e-05 	0.00371524448706
e0_H_sctotal	0.445631377551 	0.445631377551 	0.891262755102
e0_H_shtotal	0.548469387755 	0.00510204081633 	0.553571428571
e0_N_Lpph2	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psc	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psh	1.0 	0.00681851680791 	1.00681851681
e0_V	5.55111512313e-17 	5.55111512313e-17 	1.11022302463e-16
e0_V_L	0.0280003640044 	0.0280003640044 	0.0560007280088
e0_V_Lpph2	0.0150330117213 	0.0150330117213 	0.0300660234426
e0_V_Lph2total	0.0316998728347 	0.0316998728347 	0.0633997456693
e0_V_Ltotal	0.00101311991978 	0.00101311991978 	0.00202623983956
e0_V_Vh	1.0 	1.0 	2.0
e0_V_Vpph2	0.049480098965 	0.0299790261445 	0.0794591251096
e0_V_Vph2total	0.198875396014 	0.176996333673 	0.375871729687
e0_V_Vtotal	0.064839674866 	0.064839674866 	0.129679349732
e0_V_psc	0.0150330117213 	0.0150330117213 	0.0300660234426
e0_V_psh	0.0196349540849 	0.00013422331894 	0.0197691774039
e0_V_sctotal	0.0263665146123 	0.0263665146123 	0.0527330292246
e0_V_shtotal	0.0846040016905 	0.0079178227803 	0.0925218244707
e0_h_Vhinnph2	1.0 	1.0 	2.0
e0_F_cnoutph2	0.001625 	0.001625 	0.00325
e0_x_coutph2_k1	solved 	solved 	solved
e0_x_coutsh_k1	solved 	solved 	solved
e0_y_hinph2_i1	0.243843234055 	0.243843234055 	0.487686468109
e0_y_hinph2_i2	0.381559876172 	0.381559876172 	0.763119752344
e0_F_cnoutsh	0.026 	0.026 	0.052
e0_F_Vhinnph2	0.00153503624823 	0.00153503624823 	0.00307007249646
e0_HU_hnsh	1.0 	1.0 	2.0
e0_greek_DeltaT_logph2	1.0 	1.0 	2.0
e0_greek_alpha_hinph2wilson_i1	0.0151181785379 	0.0151181785379 	0.0302363570757
e0_greek_alpha_hinph2wilson_i2	0.257549044693 	0.257549044693 	0.515098089387
e0_greek_alpha_houtph2wilson_i1	0.0151181785379 	0.0151181785379 	0.0302363570757
e0_HU_hnsh_i1	0.618 	0.618 	1.236
e0_greek_alpha_houtph2wilson_i2	0.257549044693 	0.257549044693 	0.515098089387
e0_greek_gamma_hinph2_i1	0.99998664856 	0.99998664856 	1.99997329712
e0_greek_gamma_hinph2_i2	0.999959564679 	0.999959564679 	1.99991912936
e0_greek_gamma_houtph2_i1	0.999999931126 	0.999999931126 	1.99999986225
e0_greek_gamma_houtph2_i2	0.999999693602 	0.999999693602 	1.9999993872
e0_HU_hnsh_i2	1.0 	1.0 	2.0
e0_greek_rho_Lhnoutph2	1.0 	1.0 	2.0
e0_A_ph2	0.0314159265359 	0.0314159265359 	0.0628318530718
e0_F_hinnsc	0.00674913194444 	0.00674913194444 	0.0134982638889
e0_F_cnoutsc	8.881784197e-18 	0.0008125 	0.0008125
e0_HU_Lhnph2	0.132661459826 	0.132661459826 	0.265322919653
e0_HU_Vhnph2	0.012963009602 	0.012963009602 	0.0259260192039

VarboundSetFraction	 2.2796834462e-161	2.83511312141e-159	2.85790995587e-159
HypercubicLengthFraction	0.0189102025123 

Following Variables have been solved:
e0_x_coutsc_k1 (VarBound_0)
e0_x_coutsc_k1 (VarBound_1)
e0_x_coutph2_k1 (VarBound_0)
e0_x_coutph2_k1 (VarBound_1)
e0_x_coutsh_k1 (VarBound_0)
e0_x_coutsh_k1 (VarBound_1)
