***** Results of Analysis *****

Variables	VarBounds_0	VarBounds_1	VarBoundFraction
e0_greek_DeltaT_logsh	1.0 	1.0 	2.0
e0_Q_sh	0.15707963268 	0.00367561932181 	0.160755252001
e0_HU_hnph2_i1	0.171807277547 	0.168397437105 	0.340204714652
e0_HU_hnph2_i2	0.178140947344 	0.176604771787 	0.354745719131
e0_K_hinph2_i1	0.858818338841 	0.853443903195 	1.71226224204
e0_K_hinph2_i2	0.80342936033 	0.799783306152 	1.60321266648
e0_K_houtph2_i1	0.998785667673 	0.998672088561 	1.99745775623
e0_K_houtph2_i2	0.998655615591 	0.998599902121 	1.99725551771
e0_Q_ph2	1.0 	1.0 	2.0
e0_T_coutsc	1.0 	1.0 	2.0
e0_T_hinsc	0.6015625 	0.6015625 	1.203125
e0_U_hph2	1.0 	1.0 	2.0
e0_T_coutph2	1.0 	1.0 	2.0
e0_V_Lhph2	0.0114821999744 	0.0114821999744 	0.0229643999488
e0_V_Vhph2	0.135097220575 	0.0474737327907 	0.182570953366
e0_h_Lhinnph2	1.0 	1.0 	2.0
e0_h_hinnsc	1.0 	1.0 	2.0
e0_T_coutsh	1.0 	1.0 	2.0
e0_h_Vhnoutph2	1.0 	1.0 	2.0
e0_h_cnoutsc	0.00459156075078 	0.109375 	0.113966560751
e0_T_hinph2	0.507182984831 	0.507182984831 	1.01436596966
e0_x_coutsc_k1	solved 	solved 	solved
e0_x_hinph2_i1	0.708487633777 	0.704833418212 	1.41332105199
e0_x_hinph2_i2	0.70957959724 	0.704833418212 	1.41441301545
e0_x_hinsc_i1	0.591540688307 	0.542859815843 	1.13440050415
e0_x_hinsc_i2	0.582882821317 	0.542128495944 	1.12501131726
e0_y_houtph2_i1	0.999309710771 	0.999157215703 	1.99846692647
e0_y_houtph2_i2	0.998774446222 	0.99846925268 	1.9972436989
e0_U_hsh	1.0 	1.0 	2.0
e0_V_hsh	0.0846040016905 	0.0171851878434 	0.101789189534
e0_greek_DeltaT_logsc	1.0 	1.0 	2.0
e0_greek_rho_Lhnoutsc	1.0 	1.0 	2.0
e0_A_sc	0.011938057952 	0.011938057952 	0.0238761159041
e0_F_hnoutsc	0.00831171759377 	0.00789151627773 	0.0162032338715
e0_HU_hnsc	0.116668961142 	0.116668961142 	0.233337922284
e0_HU_hnsc_i1	0.231133564799 	0.231035737241 	0.46216930204
e0_HU_hnsc_i2	0.235927445102 	0.235027718596 	0.470955163698
e0_Q_sc	0.11938057952 	0.11938057952 	0.238761159041
e0_T_houtsc	1.0 	1.0 	2.0
e0_U_hsc	1.0 	1.0 	2.0
e0_V_hsc	0.011333502891 	0.011333502891 	0.0226670057821
e0_A_sh	0.015707963268 	0.000367561932181 	0.0160755252001
e0_h_cnoutph2	0.0863597305541 	0.3515625 	0.437922230554
e0_h_cinnsc	5.82076609135e-16 	5.82076609135e-16 	1.16415321827e-15
e0_h_hnoutsc	1.0 	1.0 	2.0
e0_h_cnoutsh	0.170303500529 	0.49256132846 	0.662864828988
e0_h_hinnsh	2.91038304567e-16 	2.91038304567e-16 	5.82076609135e-16
e0_x_houtsc_i1	0.907533869841 	0.900169677095 	1.80770354694
e0_x_houtsc_i2	0.914599181684 	0.908764207058 	1.82336338874
e0_A	1.7763568394e-17 	1.7763568394e-17 	3.5527136788e-17
e0_A_V	0.0137444678595 	0.0137444678595 	0.0274889357189
e0_A_aux	1.11022302463e-18 	1.11022302463e-18 	2.22044604925e-18
e0_A_auxsc	0.00294206748695 	0.00294206748695 	0.0058841349739
e0_A_auxsh	0.00372856077554 	0.000116517524236 	0.00384507829978
e0_H_sctotal	0.438368055556 	0.438368055556 	0.876736111111
e0_H_shtotal	0.555555555556 	0.0173611111111 	0.572916666667
e0_N_Lpph2	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psc	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psh	1.0 	0.0233997193596 	1.02339971936
e0_V	5.55111512313e-17 	5.55111512313e-17 	1.11022302463e-16
e0_V_L	0.0228157028654 	0.0228157028654 	0.0456314057309
e0_V_Lpph2	0.0150330117213 	0.0150330117213 	0.0300660234426
e0_V_Lph2total	0.0210517289436 	0.0210517289436 	0.0421034578872
e0_V_Ltotal	0.00101311991978 	0.00101311991978 	0.00202623983956
e0_V_Vh	0.219701222266 	0.0646589206341 	0.2843601429
e0_V_Vpph2	0.049480098965 	0.0303045972953 	0.0797846962603
e0_V_Vph2total	0.0856171216102 	0.0171691354954 	0.102786257106
e0_V_Vtotal	0.00101311991978 	0.00101311991978 	0.00202623983956
e0_V_psc	0.0150330117213 	0.0150330117213 	0.0300660234426
e0_V_psh	0.0196349540849 	0.000459452415227 	0.0200944065002
e0_V_sctotal	0.0210517289436 	0.0210517289436 	0.0421034578872
e0_V_shtotal	0.0846040016905 	0.0161560155756 	0.100760017266
e0_h_Vhinnph2	0.615218010974 	0.497869398308 	1.11308740928
e0_F_cnoutph2	8.881784197e-18 	0.001625 	0.001625
e0_x_coutph2_k1	solved 	solved 	solved
e0_x_coutsh_k1	solved 	solved 	solved
e0_y_hinph2_i1	0.109780038664 	0.0799873559114 	0.189767394575
