***** Results of Analysis *****

Variables	VarBounds_0	VarBoundFraction
e0_K_LV_i1	0.648234726743 	0.648234726743
e0_h_V	1.0 	1.0
e0_p	solved 	solved
e0_x_i1	0.209260576628 	0.209260576628
e0_x_i2	0.209260576628 	0.209260576628
e0_K_LV_i2	0.0883973774115 	0.0883973774115
e0_x_F_i2	1.11022302463e-16 	1.11022302463e-16
e0_y_i1	0.404239614222 	0.404239614222
e0_y_i2	0.404239614222 	0.404239614222
e0_greek_alpha_L_i1	2.77555756156e-17 	2.77555756156e-17
e0_greek_alpha_L_i2	1.11022302463e-16 	1.11022302463e-16
e0_greek_gamma_L_i1	0.448828100395 	0.448828100395
e0_greek_gamma_L_i2	0.13995335273 	0.13995335273
e0_h_F	1.94025536378e-15 	1.94025536378e-15
e0_L	0.473845107687 	0.473845107687
e0_Q	1.0 	1.0
e0_V	0.47384474595 	0.47384474595
e0_HU_i1	0.523247855866 	0.523247855866
e0_HU_i2	0.51903147393 	0.51903147393
e0_HU_L	5.84062238591e-08 	5.84062238591e-08
e0_HU_V	6.56527711362e-06 	6.56527711362e-06
e0_U	0.0130817487524 	0.0130817487524
e0_V_L	6.45928254358e-07 	6.45928254358e-07
e0_V_V	7.71049542773e-07 	7.71049542773e-07
e0_V_total	1.73472347598e-17 	1.73472347598e-17
e0_A	3.46944695195e-17 	3.46944695195e-17
e0_r_DH	5.55111512313e-17 	5.55111512313e-17
e0_h_L	1.0 	1.0

VarboundSetFraction	 8.70174017604e-146	8.70174017604e-146
HypercubicLengthFraction	4.2402632406e-06 

Following Variables have been solved:
e0_p (VarBound_0)
